,id_expense,value,date,account_number,category_id,main_category,secondary_category,balance_account_1111,balance_account_2222,balance_account_3333,total_balance
1519,1520,934.37,2023-10-05,1111,12,Income,Investiments,11538.299999999996,29271.27,-1298.8700000000003,39510.69999999999
36,37,-1200.0,2023-10-05,1111,8,Home Expenses,Rent,10338.299999999996,29271.27,-1298.8700000000003,38310.69999999999
836,837,-27.89,2023-10-07,2222,26,Public Transports,Bus,10338.299999999996,29243.38,-1298.8700000000003,38282.80999999999
1444,1445,-10.72,2023-10-08,3333,25,Public Transports,Train,10338.299999999996,29243.38,-1309.5900000000004,38272.08999999999
372,373,-246.8,2023-10-10,2222,15,Groceries,Groceries,10338.299999999996,28996.58,-1309.5900000000004,38025.28999999999
366,367,-42.74,2023-10-10,1111,25,Public Transports,Train,10295.559999999996,28996.58,-1309.5900000000004,37982.549999999996
1158,1159,-50.66,2023-10-10,3333,27,Clothing,Shoes,10295.559999999996,28996.58,-1360.2500000000005,37931.89
1302,1303,-42.08,2023-10-10,1111,13,Leisure,Activities,10253.479999999996,28996.58,-1360.2500000000005,37889.81
1993,1994,-36.34,2023-10-11,2222,14,Leisure,Bar,10253.479999999996,28960.24,-1360.2500000000005,37853.47
1234,1235,823.94,2023-10-13,3333,12,Income,Investiments,10253.479999999996,28960.24,-536.3100000000004,38677.41
1278,1279,-174.56,2023-10-14,2222,27,Clothing,Shoes,10253.479999999996,28785.68,-536.3100000000004,38502.85
397,398,-121.13,2023-10-14,3333,11,Holidays,Extra Holiday Expenses,10253.479999999996,28785.68,-657.4400000000004,38381.719999999994
1595,1596,-26.78,2023-10-14,2222,25,Public Transports,Train,10253.479999999996,28758.9,-657.4400000000004,38354.939999999995
1787,1788,-138.4,2023-10-14,2222,15,Groceries,Groceries,10253.479999999996,28620.5,-657.4400000000004,38216.53999999999
983,984,-96.98,2023-10-14,3333,6,Home Expenses,Electricity,10253.479999999996,28620.5,-754.4200000000004,38119.56
1012,1013,-1084.4,2023-10-16,3333,9,Holidays,Airplane,10253.479999999996,28620.5,-1838.8200000000006,37035.159999999996
1611,1612,-75.67,2023-10-17,2222,3,Purchases,Home Items,10253.479999999996,28544.83,-1838.8200000000006,36959.49
1344,1345,-250.42,2023-10-18,1111,28,Clothing,Clothes,10003.059999999996,28544.83,-1838.8200000000006,36709.07
1210,1211,-264.07,2023-10-18,2222,15,Groceries,Groceries,10003.059999999996,28280.760000000002,-1838.8200000000006,36445.0
452,453,-28.31,2023-10-19,2222,21,Health,Pharmacy,10003.059999999996,28252.45,-1838.8200000000006,36416.689999999995
1545,1546,-85.02,2023-10-20,2222,25,Public Transports,Train,10003.059999999996,28167.43,-1838.8200000000006,36331.67
601,602,-81.64,2023-10-20,2222,7,Home Expenses,Heating,10003.059999999996,28085.79,-1838.8200000000006,36250.03
1870,1871,-714.73,2023-10-20,1111,9,Holidays,Airplane,9288.329999999996,28085.79,-1838.8200000000006,35535.299999999996
977,978,-67.21,2023-10-21,2222,28,Clothing,Clothes,9288.329999999996,28018.58,-1838.8200000000006,35468.09
806,807,-24.14,2023-10-21,3333,26,Public Transports,Bus,9288.329999999996,28018.58,-1862.9600000000007,35443.95
730,731,-39.75,2023-10-21,3333,16,Leisure,Restaurant,9288.329999999996,28018.58,-1902.7100000000007,35404.2
406,407,-255.95,2023-10-23,3333,15,Groceries,Groceries,9288.329999999996,28018.58,-2158.6600000000008,35148.24999999999
975,976,-38.84,2023-10-23,3333,5,Home Expenses,Water,9288.329999999996,28018.58,-2197.500000000001,35109.409999999996
1055,1056,-210.35,2023-10-24,2222,28,Clothing,Clothes,9288.329999999996,27808.230000000003,-2197.500000000001,34899.06
328,329,-185.85,2023-10-25,3333,7,Home Expenses,Heating,9288.329999999996,27808.230000000003,-2383.350000000001,34713.21
1132,1133,-21.72,2023-10-25,2222,26,Public Transports,Bus,9288.329999999996,27786.510000000002,-2383.350000000001,34691.49
1876,1877,-143.69,2023-10-25,3333,15,Groceries,Groceries,9288.329999999996,27786.510000000002,-2527.040000000001,34547.799999999996
518,519,-38.01,2023-10-26,1111,13,Leisure,Activities,9250.319999999996,27786.510000000002,-2527.040000000001,34509.79
1263,1264,-36.16,2023-10-27,3333,16,Leisure,Restaurant,9250.319999999996,27786.510000000002,-2563.2000000000007,34473.630000000005
382,383,-550.1,2023-10-28,3333,10,Holidays,Hotel Stays,9250.319999999996,27786.510000000002,-3113.3000000000006,33923.53
962,963,-53.33,2023-10-28,2222,5,Home Expenses,Water,9250.319999999996,27733.18,-3113.3000000000006,33870.2
1203,1204,-55.28,2023-10-28,1111,21,Health,Pharmacy,9195.039999999995,27733.18,-3113.3000000000006,33814.91999999999
1537,1538,-187.32,2023-10-28,1111,3,Purchases,Home Items,9007.719999999996,27733.18,-3113.3000000000006,33627.59999999999
754,755,-152.0,2023-10-29,3333,18,Health,Medical Appointments,9007.719999999996,27733.18,-3265.3000000000006,33475.59999999999
691,692,-142.75,2023-10-29,2222,16,Leisure,Restaurant,9007.719999999996,27590.43,-3265.3000000000006,33332.84999999999
1057,1058,-56.9,2023-10-30,2222,5,Home Expenses,Water,9007.719999999996,27533.53,-3265.3000000000006,33275.94999999999
1827,1828,-206.82,2023-10-31,1111,23,Taxes,Income Taxes,8800.899999999996,27533.53,-3265.3000000000006,33069.12999999999
916,917,-491.84,2023-10-31,2222,9,Holidays,Airplane,8800.899999999996,27041.69,-3265.3000000000006,32577.289999999997
1269,1270,-253.37,2023-10-31,1111,15,Groceries,Groceries,8547.529999999995,27041.69,-3265.3000000000006,32323.919999999995
1729,1730,-235.56,2023-10-31,3333,2,Car,Maintenance,8547.529999999995,27041.69,-3500.8600000000006,32088.359999999993
1404,1405,-176.26,2023-10-31,3333,15,Groceries,Groceries,8547.529999999995,27041.69,-3677.120000000001,31912.09999999999
330,331,-242.43,2023-10-31,2222,11,Holidays,Extra Holiday Expenses,8547.529999999995,26799.26,-3677.120000000001,31669.66999999999
279,280,-66.87,2023-10-31,1111,18,Health,Medical Appointments,8480.659999999994,26799.26,-3677.120000000001,31602.79999999999
878,879,-540.24,2023-11-01,1111,23,Taxes,Income Taxes,7940.419999999995,26799.26,-3677.120000000001,31062.55999999999
40,41,-1200.0,2023-11-02,1111,8,Home Expenses,Rent,6740.419999999995,26799.26,-3677.120000000001,29862.55999999999
574,575,-56.14,2023-11-02,2222,25,Public Transports,Train,6740.419999999995,26743.12,-3677.120000000001,29806.41999999999
41,42,-40.0,2023-11-03,2222,19,Health,Gym,6740.419999999995,26703.12,-3677.120000000001,29766.41999999999
43,44,12000.0,2023-11-03,1111,17,Income,Salary,18740.419999999995,26703.12,-3677.120000000001,41766.41999999999
1385,1386,-108.54,2023-11-04,3333,2,Car,Maintenance,18740.419999999995,26703.12,-3785.6600000000008,41657.87999999999
1521,1522,474.67,2023-11-04,2222,12,Income,Investiments,18740.419999999995,27177.789999999997,-3785.6600000000008,42132.54999999999
42,43,-100.0,2023-11-04,3333,20,Health,Health Insurance,18740.419999999995,27177.789999999997,-3885.6600000000008,42032.54999999999
1389,1390,-122.82,2023-11-04,2222,23,Taxes,Income Taxes,18740.419999999995,27054.969999999998,-3885.6600000000008,41909.72999999999
1220,1221,-11.62,2023-11-04,3333,26,Public Transports,Bus,18740.419999999995,27054.969999999998,-3897.2800000000007,41898.10999999999
1317,1318,-20.0,2023-11-04,2222,24,Telecom,Telecom,18740.419999999995,27034.969999999998,-3897.2800000000007,41878.10999999999
1008,1009,-19.09,2023-11-04,1111,21,Health,Pharmacy,18721.329999999994,27034.969999999998,-3897.2800000000007,41859.01999999999
195,196,-39.21,2023-11-05,3333,16,Leisure,Restaurant,18721.329999999994,27034.969999999998,-3936.4900000000007,41819.80999999999
273,274,-298.53,2023-11-06,3333,28,Clothing,Clothes,18721.329999999994,27034.969999999998,-4235.02,41521.279999999984
358,359,-41.4,2023-11-06,3333,16,Leisure,Restaurant,18721.329999999994,27034.969999999998,-4276.42,41479.87999999999
1854,1855,-67.46,2023-11-07,3333,6,Home Expenses,Electricity,18721.329999999994,27034.969999999998,-4343.88,41412.41999999999
1010,1011,-108.33,2023-11-07,3333,2,Car,Maintenance,18721.329999999994,27034.969999999998,-4452.21,41304.08999999999
1484,1485,-124.27,2023-11-07,1111,1,Car,Fuel,18597.059999999994,27034.969999999998,-4452.21,41179.81999999999
1446,1447,-138.36,2023-11-07,2222,7,Home Expenses,Heating,18597.059999999994,26896.609999999997,-4452.21,41041.45999999999
371,372,-69.85,2023-11-07,3333,25,Public Transports,Train,18597.059999999994,26896.609999999997,-4522.06,40971.60999999999
1276,1277,-51.41,2023-11-07,2222,3,Purchases,Home Items,18597.059999999994,26845.199999999997,-4522.06,40920.2
1800,1801,-141.72,2023-11-07,1111,28,Clothing,Clothes,18455.339999999993,26845.199999999997,-4522.06,40778.479999999996
1910,1911,-10.56,2023-11-07,1111,14,Leisure,Bar,18444.77999999999,26845.199999999997,-4522.06,40767.91999999999
1819,1820,-135.62,2023-11-08,3333,16,Leisure,Restaurant,18444.77999999999,26845.199999999997,-4657.68,40632.29999999999
152,153,-63.96,2023-11-09,2222,16,Leisure,Restaurant,18444.77999999999,26781.239999999998,-4657.68,40568.33999999999
1560,1561,-12.6,2023-11-10,3333,13,Leisure,Activities,18444.77999999999,26781.239999999998,-4670.280000000001,40555.73999999999
1093,1094,-112.89,2023-11-10,1111,1,Car,Fuel,18331.889999999992,26781.239999999998,-4670.280000000001,40442.84999999999
854,855,-56.29,2023-11-11,2222,21,Health,Pharmacy,18331.889999999992,26724.949999999997,-4670.280000000001,40386.55999999999
1082,1083,-34.19,2023-11-11,2222,2,Car,Maintenance,18331.889999999992,26690.76,-4670.280000000001,40352.369999999995
1915,1916,-194.71,2023-11-11,1111,28,Clothing,Clothes,18137.179999999993,26690.76,-4670.280000000001,40157.65999999999
810,811,-91.97,2023-11-11,2222,6,Home Expenses,Electricity,18137.179999999993,26598.789999999997,-4670.280000000001,40065.68999999999
584,585,-278.98,2023-11-11,2222,2,Car,Maintenance,18137.179999999993,26319.809999999998,-4670.280000000001,39786.70999999999
1170,1171,-227.13,2023-11-12,3333,11,Holidays,Extra Holiday Expenses,18137.179999999993,26319.809999999998,-4897.410000000001,39559.57999999999
1254,1255,-1095.05,2023-11-13,2222,9,Holidays,Airplane,18137.179999999993,25224.76,-4897.410000000001,38464.529999999984
1227,1228,-48.13,2023-11-14,1111,26,Public Transports,Bus,18089.049999999992,25224.76,-4897.410000000001,38416.39999999999
1850,1851,-62.79,2023-11-15,1111,1,Car,Fuel,18026.25999999999,25224.76,-4897.410000000001,38353.609999999986
1041,1042,-24.98,2023-11-15,2222,16,Leisure,Restaurant,18026.25999999999,25199.78,-4897.410000000001,38328.62999999999
1778,1779,-11.96,2023-11-17,1111,26,Public Transports,Bus,18014.299999999992,25199.78,-4897.410000000001,38316.669999999984
991,992,-60.92,2023-11-18,2222,27,Clothing,Shoes,18014.299999999992,25138.86,-4897.410000000001,38255.749999999985
1853,1854,-50.74,2023-11-19,2222,16,Leisure,Restaurant,18014.299999999992,25088.12,-4897.410000000001,38205.00999999999
1308,1309,-84.42,2023-11-20,2222,27,Clothing,Shoes,18014.299999999992,25003.7,-4897.410000000001,38120.58999999999
1779,1780,-40.36,2023-11-20,3333,14,Leisure,Bar,18014.299999999992,25003.7,-4937.77,38080.229999999996
1111,1112,-57.32,2023-11-21,3333,16,Leisure,Restaurant,18014.299999999992,25003.7,-4995.09,38022.90999999999
1273,1274,-56.0,2023-11-21,2222,16,Leisure,Restaurant,18014.299999999992,24947.7,-4995.09,37966.90999999999
1284,1285,-37.97,2023-11-22,1111,2,Car,Maintenance,17976.32999999999,24947.7,-4995.09,37928.93999999999
1091,1092,-518.67,2023-11-22,2222,10,Holidays,Hotel Stays,17976.32999999999,24429.030000000002,-4995.09,37410.26999999999
1689,1690,-94.66,2023-11-22,3333,11,Holidays,Extra Holiday Expenses,17976.32999999999,24429.030000000002,-5089.75,37315.60999999999
1907,1908,-591.24,2023-11-23,3333,9,Holidays,Airplane,17976.32999999999,24429.030000000002,-5680.99,36724.369999999995
1712,1713,884.88,2023-11-23,1111,12,Income,Investiments,18861.209999999992,24429.030000000002,-5680.99,37609.24999999999
1384,1385,-205.48,2023-11-25,2222,11,Holidays,Extra Holiday Expenses,18861.209999999992,24223.550000000003,-5680.99,37403.77
227,228,-269.07,2023-11-25,2222,7,Home Expenses,Heating,18861.209999999992,23954.480000000003,-5680.99,37134.7
863,864,910.9,2023-11-25,3333,12,Income,Investiments,18861.209999999992,23954.480000000003,-4770.09,38045.59999999999
1052,1053,-121.32,2023-11-26,3333,18,Health,Medical Appointments,18861.209999999992,23954.480000000003,-4891.41,37924.28
343,344,-98.52,2023-11-27,2222,27,Clothing,Shoes,18861.209999999992,23855.960000000003,-4891.41,37825.759999999995
1705,1706,-87.71,2023-11-27,2222,21,Health,Pharmacy,18861.209999999992,23768.250000000004,-4891.41,37738.04999999999
692,693,-802.15,2023-11-27,1111,9,Holidays,Airplane,18059.05999999999,23768.250000000004,-4891.41,36935.899999999994
1988,1989,-115.36,2023-11-27,3333,3,Purchases,Home Items,18059.05999999999,23768.250000000004,-5006.7699999999995,36820.54
1021,1022,-143.41,2023-11-27,1111,6,Home Expenses,Electricity,17915.64999999999,23768.250000000004,-5006.7699999999995,36677.13
859,860,-42.77,2023-11-28,1111,26,Public Transports,Bus,17872.87999999999,23768.250000000004,-5006.7699999999995,36634.35999999999
684,685,-46.95,2023-11-29,1111,14,Leisure,Bar,17825.92999999999,23768.250000000004,-5006.7699999999995,36587.409999999996
527,528,-154.67,2023-11-29,1111,11,Holidays,Extra Holiday Expenses,17671.25999999999,23768.250000000004,-5006.7699999999995,36432.74
1069,1070,-143.28,2023-11-30,3333,15,Groceries,Groceries,17671.25999999999,23768.250000000004,-5150.049999999999,36289.45999999999
1221,1222,-205.95,2023-11-30,2222,11,Holidays,Extra Holiday Expenses,17671.25999999999,23562.300000000003,-5150.049999999999,36083.509999999995
934,935,-55.26,2023-11-30,1111,11,Holidays,Extra Holiday Expenses,17615.999999999993,23562.300000000003,-5150.049999999999,36028.25
276,277,-156.97,2023-12-01,3333,2,Car,Maintenance,17615.999999999993,23562.300000000003,-5307.0199999999995,35871.28
46,47,-100.0,2023-12-01,3333,20,Health,Health Insurance,17615.999999999993,23562.300000000003,-5407.0199999999995,35771.28
1829,1830,-20.0,2023-12-01,1111,24,Telecom,Telecom,17595.999999999993,23562.300000000003,-5407.0199999999995,35751.28
1608,1609,-31.69,2023-12-02,3333,14,Leisure,Bar,17595.999999999993,23562.300000000003,-5438.709999999999,35719.59
47,48,12000.0,2023-12-02,3333,17,Income,Salary,17595.999999999993,23562.300000000003,6561.290000000001,47719.59
767,768,-164.38,2023-12-02,3333,11,Holidays,Extra Holiday Expenses,17595.999999999993,23562.300000000003,6396.910000000001,47555.21
44,45,-1200.0,2023-12-03,2222,8,Home Expenses,Rent,17595.999999999993,22362.300000000003,6396.910000000001,46355.21
272,273,492.2,2023-12-04,2222,12,Income,Investiments,17595.999999999993,22854.500000000004,6396.910000000001,46847.41
45,46,-40.0,2023-12-05,3333,19,Health,Gym,17595.999999999993,22854.500000000004,6356.910000000001,46807.41
1898,1899,-60.01,2023-12-06,3333,6,Home Expenses,Electricity,17595.999999999993,22854.500000000004,6296.900000000001,46747.4
426,427,-422.96,2023-12-06,3333,10,Holidays,Hotel Stays,17595.999999999993,22854.500000000004,5873.9400000000005,46324.44
695,696,-272.72,2023-12-06,2222,7,Home Expenses,Heating,17595.999999999993,22581.780000000002,5873.9400000000005,46051.72
331,332,-55.45,2023-12-07,1111,15,Groceries,Groceries,17540.549999999992,22581.780000000002,5873.9400000000005,45996.27
1062,1063,-118.3,2023-12-07,3333,27,Clothing,Shoes,17540.549999999992,22581.780000000002,5755.64,45877.969999999994
1683,1684,-23.84,2023-12-08,3333,16,Leisure,Restaurant,17540.549999999992,22581.780000000002,5731.8,45854.13
1897,1898,-58.55,2023-12-08,2222,13,Leisure,Activities,17540.549999999992,22523.230000000003,5731.8,45795.58
362,363,-166.97,2023-12-09,3333,2,Car,Maintenance,17540.549999999992,22523.230000000003,5564.83,45628.61
634,635,-807.08,2023-12-10,3333,4,Purchases,Electronics,17540.549999999992,22523.230000000003,4757.75,44821.53
701,702,-51.61,2023-12-11,2222,11,Holidays,Extra Holiday Expenses,17540.549999999992,22471.620000000003,4757.75,44769.92
1918,1919,-51.99,2023-12-11,3333,25,Public Transports,Train,17540.549999999992,22471.620000000003,4705.76,44717.93
245,246,-45.77,2023-12-12,1111,16,Leisure,Restaurant,17494.77999999999,22471.620000000003,4705.76,44672.159999999996
1950,1951,-77.93,2023-12-12,2222,13,Leisure,Activities,17494.77999999999,22393.690000000002,4705.76,44594.229999999996
439,440,-288.04,2023-12-13,1111,11,Holidays,Extra Holiday Expenses,17206.73999999999,22393.690000000002,4705.76,44306.189999999995
1578,1579,-96.92,2023-12-13,1111,25,Public Transports,Train,17109.819999999992,22393.690000000002,4705.76,44209.27
1861,1862,-39.31,2023-12-14,1111,14,Leisure,Bar,17070.50999999999,22393.690000000002,4705.76,44169.96
247,248,-192.45,2023-12-15,3333,3,Purchases,Home Items,17070.50999999999,22393.690000000002,4513.31,43977.509999999995
1739,1740,-142.77,2023-12-15,2222,18,Health,Medical Appointments,17070.50999999999,22250.920000000002,4513.31,43834.73999999999
1153,1154,-147.63,2023-12-15,1111,28,Clothing,Clothes,16922.87999999999,22250.920000000002,4513.31,43687.109999999986
821,822,-901.74,2023-12-16,2222,4,Purchases,Electronics,16922.87999999999,21349.18,4513.31,42785.36999999999
1588,1589,-57.07,2023-12-16,1111,25,Public Transports,Train,16865.80999999999,21349.18,4513.31,42728.29999999999
1141,1142,-167.89,2023-12-17,3333,4,Purchases,Electronics,16865.80999999999,21349.18,4345.42,42560.40999999999
794,795,-96.96,2023-12-18,2222,13,Leisure,Activities,16865.80999999999,21252.22,4345.42,42463.44999999999
321,322,-10.25,2023-12-18,3333,14,Leisure,Bar,16865.80999999999,21252.22,4335.17,42453.19999999999
644,645,-116.51,2023-12-18,2222,27,Clothing,Shoes,16865.80999999999,21135.710000000003,4335.17,42336.68999999999
1613,1614,-11.64,2023-12-19,2222,26,Public Transports,Bus,16865.80999999999,21124.070000000003,4335.17,42325.04999999999
1944,1945,-38.9,2023-12-19,2222,14,Leisure,Bar,16865.80999999999,21085.170000000002,4335.17,42286.149999999994
777,778,-127.31,2023-12-20,3333,27,Clothing,Shoes,16865.80999999999,21085.170000000002,4207.86,42158.84
1287,1288,-305.43,2023-12-23,3333,9,Holidays,Airplane,16865.80999999999,21085.170000000002,3902.43,41853.409999999996
1291,1292,-85.66,2023-12-23,2222,25,Public Transports,Train,16865.80999999999,20999.510000000002,3902.43,41767.74999999999
537,538,-1085.38,2023-12-23,2222,9,Holidays,Airplane,16865.80999999999,19914.13,3902.43,40682.36999999999
1371,1372,-69.08,2023-12-24,1111,18,Health,Medical Appointments,16796.72999999999,19914.13,3902.43,40613.289999999986
607,608,-71.17,2023-12-25,2222,16,Leisure,Restaurant,16796.72999999999,19842.960000000003,3902.43,40542.11999999999
675,676,-32.22,2023-12-26,2222,16,Leisure,Restaurant,16796.72999999999,19810.74,3902.43,40509.89999999999
481,482,-35.5,2023-12-26,1111,16,Leisure,Restaurant,16761.22999999999,19810.74,3902.43,40474.39999999999
646,647,-43.93,2023-12-26,3333,27,Clothing,Shoes,16761.22999999999,19810.74,3858.5,40430.46999999999
1068,1069,202.04,2023-12-27,2222,12,Income,Investiments,16761.22999999999,20012.780000000002,3858.5,40632.509999999995
1046,1047,-117.46,2023-12-27,1111,15,Groceries,Groceries,16643.76999999999,20012.780000000002,3858.5,40515.04999999999
932,933,-95.94,2023-12-27,1111,6,Home Expenses,Electricity,16547.82999999999,20012.780000000002,3858.5,40419.10999999999
1183,1184,-97.36,2023-12-28,3333,11,Holidays,Extra Holiday Expenses,16547.82999999999,20012.780000000002,3761.14,40321.74999999999
159,160,-24.68,2023-12-29,3333,16,Leisure,Restaurant,16547.82999999999,20012.780000000002,3736.46,40297.06999999999
1585,1586,-541.78,2023-12-29,2222,10,Holidays,Hotel Stays,16547.82999999999,19471.000000000004,3736.46,39755.28999999999
589,590,-60.43,2023-12-30,1111,6,Home Expenses,Electricity,16487.39999999999,19471.000000000004,3736.46,39694.85999999999
1849,1850,-55.42,2023-12-30,3333,5,Home Expenses,Water,16487.39999999999,19471.000000000004,3681.04,39639.439999999995
1695,1696,-142.39,2023-12-30,2222,6,Home Expenses,Electricity,16487.39999999999,19328.610000000004,3681.04,39497.049999999996
151,152,-6.2,2024-01-02,2222,26,Public Transports,Bus,16487.39999999999,19322.410000000003,3681.04,39490.85
1772,1773,-124.37,2024-01-02,1111,18,Health,Medical Appointments,16363.02999999999,19322.410000000003,3681.04,39366.479999999996
48,49,-1200.0,2024-01-02,1111,8,Home Expenses,Rent,15163.02999999999,19322.410000000003,3681.04,38166.479999999996
1989,1990,-134.74,2024-01-03,1111,7,Home Expenses,Heating,15028.28999999999,19322.410000000003,3681.04,38031.74
51,52,12000.0,2024-01-03,3333,17,Income,Salary,15028.28999999999,19322.410000000003,15681.04,50031.74
1453,1454,-53.58,2024-01-04,2222,13,Leisure,Activities,15028.28999999999,19268.83,15681.04,49978.159999999996
1108,1109,-125.11,2024-01-04,2222,16,Leisure,Restaurant,15028.28999999999,19143.72,15681.04,49853.049999999996
431,432,-62.03,2024-01-04,1111,1,Car,Fuel,14966.25999999999,19143.72,15681.04,49791.01999999999
933,934,-443.36,2024-01-05,3333,23,Taxes,Income Taxes,14966.25999999999,19143.72,15237.68,49347.65999999999
1332,1333,-64.21,2024-01-05,2222,2,Car,Maintenance,14966.25999999999,19079.510000000002,15237.68,49283.44999999999
49,50,-40.0,2024-01-05,1111,19,Health,Gym,14926.25999999999,19079.510000000002,15237.68,49243.44999999999
190,191,-39.35,2024-01-05,1111,26,Public Transports,Bus,14886.909999999989,19079.510000000002,15237.68,49204.09999999999
50,51,-100.0,2024-01-05,2222,20,Health,Health Insurance,14886.909999999989,18979.510000000002,15237.68,49104.09999999999
1413,1414,-20.0,2024-01-05,1111,24,Telecom,Telecom,14866.909999999989,18979.510000000002,15237.68,49084.09999999999
253,254,-13.52,2024-01-05,2222,26,Public Transports,Bus,14866.909999999989,18965.99,15237.68,49070.579999999994
783,784,-154.16,2024-01-06,2222,27,Clothing,Shoes,14866.909999999989,18811.83,15237.68,48916.41999999999
789,790,-45.39,2024-01-06,3333,26,Public Transports,Bus,14866.909999999989,18811.83,15192.29,48871.02999999999
1937,1938,-71.6,2024-01-06,1111,1,Car,Fuel,14795.309999999989,18811.83,15192.29,48799.42999999999
877,878,-165.63,2024-01-07,1111,28,Clothing,Clothes,14629.67999999999,18811.83,15192.29,48633.799999999996
440,441,-78.06,2024-01-07,1111,16,Leisure,Restaurant,14551.61999999999,18811.83,15192.29,48555.73999999999
1774,1775,674.09,2024-01-10,1111,12,Income,Investiments,15225.70999999999,18811.83,15192.29,49229.829999999994
1752,1753,-498.63,2024-01-10,3333,10,Holidays,Hotel Stays,15225.70999999999,18811.83,14693.660000000002,48731.2
1416,1417,-155.02,2024-01-11,3333,18,Health,Medical Appointments,15225.70999999999,18811.83,14538.640000000001,48576.17999999999
609,610,-45.99,2024-01-11,3333,14,Leisure,Bar,15225.70999999999,18811.83,14492.650000000001,48530.189999999995
532,533,-14.24,2024-01-13,1111,14,Leisure,Bar,15211.46999999999,18811.83,14492.650000000001,48515.94999999999
786,787,-183.6,2024-01-14,2222,27,Clothing,Shoes,15211.46999999999,18628.230000000003,14492.650000000001,48332.35
515,516,-197.63,2024-01-16,1111,28,Clothing,Clothes,15013.839999999991,18628.230000000003,14492.650000000001,48134.719999999994
706,707,-670.06,2024-01-16,1111,23,Taxes,Income Taxes,14343.779999999992,18628.230000000003,14492.650000000001,47464.659999999996
1666,1667,-118.7,2024-01-16,2222,15,Groceries,Groceries,14343.779999999992,18509.530000000002,14492.650000000001,47345.96
302,303,-252.75,2024-01-17,2222,15,Groceries,Groceries,14343.779999999992,18256.780000000002,14492.650000000001,47093.20999999999
1601,1602,-96.68,2024-01-17,1111,6,Home Expenses,Electricity,14247.099999999991,18256.780000000002,14492.650000000001,46996.53
191,192,-73.3,2024-01-18,3333,25,Public Transports,Train,14247.099999999991,18256.780000000002,14419.350000000002,46923.229999999996
318,319,-270.67,2024-01-19,1111,10,Holidays,Hotel Stays,13976.429999999991,18256.780000000002,14419.350000000002,46652.56
1176,1177,-139.41,2024-01-19,2222,1,Car,Fuel,13976.429999999991,18117.370000000003,14419.350000000002,46513.149999999994
1061,1062,-244.06,2024-01-20,2222,7,Home Expenses,Heating,13976.429999999991,17873.31,14419.350000000002,46269.09
935,936,-35.93,2024-01-20,1111,14,Leisure,Bar,13940.49999999999,17873.31,14419.350000000002,46233.15999999999
1628,1629,-338.08,2024-01-20,1111,9,Holidays,Airplane,13602.419999999991,17873.31,14419.350000000002,45895.079999999994
800,801,-94.02,2024-01-21,1111,2,Car,Maintenance,13508.39999999999,17873.31,14419.350000000002,45801.06
327,328,-825.17,2024-01-21,1111,4,Purchases,Electronics,12683.22999999999,17873.31,14419.350000000002,44975.89
746,747,-134.68,2024-01-21,3333,4,Purchases,Electronics,12683.22999999999,17873.31,14284.670000000002,44841.20999999999
636,637,390.41,2024-01-24,3333,12,Income,Investiments,12683.22999999999,17873.31,14675.080000000002,45231.619999999995
749,750,-189.32,2024-01-24,2222,2,Car,Maintenance,12683.22999999999,17683.99,14675.080000000002,45042.299999999996
861,862,-55.72,2024-01-24,2222,27,Clothing,Shoes,12683.22999999999,17628.27,14675.080000000002,44986.579999999994
896,897,-777.83,2024-01-26,1111,23,Taxes,Income Taxes,11905.39999999999,17628.27,14675.080000000002,44208.74999999999
570,571,-43.05,2024-01-26,3333,26,Public Transports,Bus,11905.39999999999,17628.27,14632.030000000002,44165.7
329,330,-635.79,2024-01-26,1111,9,Holidays,Airplane,11269.60999999999,17628.27,14632.030000000002,43529.90999999999
1817,1818,-745.75,2024-01-26,1111,23,Taxes,Income Taxes,10523.85999999999,17628.27,14632.030000000002,42784.15999999999
1581,1582,-94.84,2024-01-27,3333,25,Public Transports,Train,10523.85999999999,17628.27,14537.190000000002,42689.31999999999
1550,1551,-57.99,2024-01-27,2222,16,Leisure,Restaurant,10523.85999999999,17570.28,14537.190000000002,42631.32999999999
707,708,-232.48,2024-01-28,2222,2,Car,Maintenance,10523.85999999999,17337.8,14537.190000000002,42398.84999999999
484,485,-241.21,2024-01-28,3333,28,Clothing,Clothes,10523.85999999999,17337.8,14295.980000000003,42157.63999999999
200,201,-313.56,2024-01-29,1111,9,Holidays,Airplane,10210.29999999999,17337.8,14295.980000000003,41844.079999999994
1964,1965,-99.87,2024-01-29,2222,16,Leisure,Restaurant,10210.29999999999,17237.93,14295.980000000003,41744.20999999999
1085,1086,-97.88,2024-01-30,3333,16,Leisure,Restaurant,10210.29999999999,17237.93,14198.100000000004,41646.329999999994
399,400,564.81,2024-01-30,2222,12,Income,Investiments,10210.29999999999,17802.74,14198.100000000004,42211.14
1527,1528,-11.27,2024-01-30,2222,25,Public Transports,Train,10210.29999999999,17791.47,14198.100000000004,42199.869999999995
663,664,-60.5,2024-01-30,1111,18,Health,Medical Appointments,10149.79999999999,17791.47,14198.100000000004,42139.369999999995
511,512,-39.54,2024-01-30,1111,21,Health,Pharmacy,10110.25999999999,17791.47,14198.100000000004,42099.829999999994
473,474,-68.16,2024-01-31,2222,16,Leisure,Restaurant,10110.25999999999,17723.31,14198.100000000004,42031.67
1212,1213,-243.76,2024-02-01,2222,7,Home Expenses,Heating,10110.25999999999,17479.550000000003,14198.100000000004,41787.909999999996
