,id_expense,value,date,account_number,category_id,main_category,secondary_category,essential
418,419,-16.08,2023-04-02,2222,13,Leisure,Activities,Non-Essentials
419,420,-135.96,2025-07-15,2222,18,Health,Medical Appointments,Essentials
420,421,-26.39,2023-09-29,1111,14,Leisure,Bar,Non-Essentials
421,422,-67.28,2025-07-10,3333,21,Health,Pharmacy,Essentials
422,423,-39.37,2024-10-28,1111,16,Leisure,Restaurant,Non-Essentials
423,424,-63.23,2025-04-18,2222,16,Leisure,Restaurant,Non-Essentials
424,425,-1100.24,2024-11-25,3333,9,Holidays,Airplane,Non-Essentials
425,426,-288.68,2025-06-26,3333,2,Car,Maintenance,Essentials
426,427,-422.96,2023-12-06,3333,10,Holidays,Hotel Stays,Non-Essentials
427,428,-107.2,2024-09-24,3333,1,Car,Fuel,Essentials
428,429,-21.14,2023-06-24,1111,25,Public Transports,Train,Essentials
429,430,-20.0,2024-04-05,3333,24,Telecom,Telecom,Essentials
430,431,-27.05,2025-09-01,3333,21,Health,Pharmacy,Essentials
431,432,-62.03,2024-01-04,1111,1,Car,Fuel,Essentials
432,433,-493.38,2024-05-17,3333,10,Holidays,Hotel Stays,Non-Essentials
433,434,-410.96,2024-10-18,2222,23,Taxes,Income Taxes,Essentials
434,435,-131.49,2023-02-17,2222,23,Taxes,Income Taxes,Essentials
435,436,-95.13,2023-02-19,3333,15,Groceries,Groceries,Essentials
437,438,-564.69,2024-08-07,1111,4,Purchases,Electronics,Non-Essentials
438,439,-75.56,2023-07-03,1111,6,Home Expenses,Electricity,Essentials
439,440,-288.04,2023-12-13,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
440,441,-78.06,2024-01-07,1111,16,Leisure,Restaurant,Non-Essentials
441,442,-30.53,2025-03-09,1111,27,Clothing,Shoes,Non-Essentials
443,444,-47.37,2023-09-05,1111,14,Leisure,Bar,Non-Essentials
444,445,-132.72,2024-04-29,2222,7,Home Expenses,Heating,Essentials
445,446,-77.72,2025-02-27,1111,21,Health,Pharmacy,Essentials
446,447,-130.32,2025-08-09,3333,10,Holidays,Hotel Stays,Non-Essentials
447,448,-66.36,2023-03-01,2222,15,Groceries,Groceries,Essentials
448,449,-31.04,2023-02-08,2222,25,Public Transports,Train,Essentials
449,450,-97.08,2023-07-27,1111,16,Leisure,Restaurant,Non-Essentials
450,451,-72.12,2023-09-15,2222,22,Taxes,Documents,Essentials
451,452,-384.72,2023-06-21,3333,23,Taxes,Income Taxes,Essentials
452,453,-28.31,2023-10-19,2222,21,Health,Pharmacy,Essentials
453,454,-98.82,2024-05-17,3333,16,Leisure,Restaurant,Non-Essentials
454,455,-290.34,2025-07-14,1111,15,Groceries,Groceries,Essentials
455,456,-131.26,2024-08-15,3333,1,Car,Fuel,Essentials
456,457,-50.05,2025-09-14,2222,6,Home Expenses,Electricity,Essentials
457,458,-42.54,2025-02-17,2222,16,Leisure,Restaurant,Non-Essentials
458,459,-29.15,2025-11-11,2222,25,Public Transports,Train,Essentials
459,460,-73.58,2023-05-24,2222,2,Car,Maintenance,Essentials
460,461,-91.15,2023-09-09,1111,3,Purchases,Home Items,Non-Essentials
461,462,-180.25,2024-07-26,2222,28,Clothing,Clothes,Non-Essentials
462,463,-214.3,2024-10-13,3333,7,Home Expenses,Heating,Essentials
464,465,-862.28,2024-10-20,2222,9,Holidays,Airplane,Non-Essentials
465,466,-181.16,2024-11-03,1111,7,Home Expenses,Heating,Essentials
466,467,-44.07,2023-01-05,3333,27,Clothing,Shoes,Non-Essentials
467,468,-50.64,2023-01-20,3333,18,Health,Medical Appointments,Essentials
468,469,-91.32,2025-09-28,2222,6,Home Expenses,Electricity,Essentials
469,470,-26.49,2023-06-08,3333,22,Taxes,Documents,Essentials
470,471,-139.26,2025-06-30,3333,1,Car,Fuel,Essentials
471,472,-385.34,2025-02-09,3333,4,Purchases,Electronics,Non-Essentials
472,473,-44.81,2023-01-18,1111,13,Leisure,Activities,Non-Essentials
473,474,-68.16,2024-01-31,2222,16,Leisure,Restaurant,Non-Essentials
474,475,-72.15,2023-02-10,2222,1,Car,Fuel,Essentials
475,476,-46.46,2025-01-02,1111,26,Public Transports,Bus,Essentials
476,477,-166.93,2024-09-12,3333,3,Purchases,Home Items,Non-Essentials
477,478,-434.26,2025-10-08,2222,9,Holidays,Airplane,Non-Essentials
478,479,-105.8,2024-03-04,1111,2,Car,Maintenance,Essentials
479,480,-296.54,2025-03-22,1111,7,Home Expenses,Heating,Essentials
480,481,-384.55,2025-10-08,1111,10,Holidays,Hotel Stays,Non-Essentials
481,482,-35.5,2023-12-26,1111,16,Leisure,Restaurant,Non-Essentials
482,483,-189.77,2023-05-14,1111,23,Taxes,Income Taxes,Essentials
483,484,-566.78,2024-04-11,3333,10,Holidays,Hotel Stays,Non-Essentials
484,485,-241.21,2024-01-28,3333,28,Clothing,Clothes,Non-Essentials
485,486,-149.2,2024-06-01,3333,1,Car,Fuel,Essentials
486,487,-90.65,2023-01-05,2222,22,Taxes,Documents,Essentials
487,488,-70.58,2023-04-17,2222,25,Public Transports,Train,Essentials
488,489,-261.09,2025-04-13,2222,15,Groceries,Groceries,Essentials
489,490,-696.16,2025-08-13,2222,4,Purchases,Electronics,Non-Essentials
490,491,-56.55,2023-03-31,3333,13,Leisure,Activities,Non-Essentials
491,492,-246.96,2025-05-10,3333,9,Holidays,Airplane,Non-Essentials
492,493,-61.11,2025-03-13,1111,16,Leisure,Restaurant,Non-Essentials
494,495,-1178.1,2025-05-17,1111,9,Holidays,Airplane,Non-Essentials
495,496,-396.88,2024-11-05,2222,9,Holidays,Airplane,Non-Essentials
496,497,-132.68,2023-07-18,1111,3,Purchases,Home Items,Non-Essentials
497,498,-114.79,2023-02-19,3333,18,Health,Medical Appointments,Essentials
498,499,-94.16,2024-05-27,1111,25,Public Transports,Train,Essentials
499,500,-499.9,2024-11-28,1111,4,Purchases,Electronics,Non-Essentials
501,502,-20.0,2025-03-05,3333,24,Telecom,Telecom,Essentials
502,503,-95.26,2023-06-25,1111,16,Leisure,Restaurant,Non-Essentials
503,504,-131.9,2023-05-14,1111,2,Car,Maintenance,Essentials
504,505,-278.16,2025-06-24,1111,2,Car,Maintenance,Essentials
505,506,-202.68,2025-06-03,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
506,507,-693.69,2023-04-17,2222,4,Purchases,Electronics,Non-Essentials
507,508,-23.08,2025-04-21,1111,14,Leisure,Bar,Non-Essentials
508,509,-20.0,2023-02-04,2222,24,Telecom,Telecom,Essentials
509,510,-25.89,2025-05-26,3333,14,Leisure,Bar,Non-Essentials
510,511,-20.0,2023-09-05,2222,24,Telecom,Telecom,Essentials
511,512,-39.54,2024-01-30,1111,21,Health,Pharmacy,Essentials
512,513,-61.67,2023-05-19,3333,4,Purchases,Electronics,Non-Essentials
513,514,-278.96,2023-09-16,3333,7,Home Expenses,Heating,Essentials
514,515,-33.07,2025-05-12,2222,21,Health,Pharmacy,Essentials
515,516,-197.63,2024-01-16,1111,28,Clothing,Clothes,Non-Essentials
516,517,-53.91,2023-05-04,1111,5,Home Expenses,Water,Essentials
517,518,-196.13,2025-11-16,3333,11,Holidays,Extra Holiday Expenses,Non-Essentials
518,519,-38.01,2023-10-26,1111,13,Leisure,Activities,Non-Essentials
519,520,-96.3,2024-12-03,2222,18,Health,Medical Appointments,Essentials
520,521,-97.32,2025-11-26,3333,13,Leisure,Activities,Non-Essentials
521,522,-35.52,2023-04-28,1111,26,Public Transports,Bus,Essentials
522,523,-83.73,2023-04-22,2222,21,Health,Pharmacy,Essentials
523,524,-27.59,2024-02-15,3333,13,Leisure,Activities,Non-Essentials
524,525,-252.76,2024-11-30,1111,7,Home Expenses,Heating,Essentials
525,526,-26.41,2025-08-15,3333,26,Public Transports,Bus,Essentials
526,527,-79.61,2024-11-18,3333,27,Clothing,Shoes,Non-Essentials
527,528,-154.67,2023-11-29,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
528,529,-133.89,2023-03-28,2222,16,Leisure,Restaurant,Non-Essentials
529,530,-1119.95,2024-04-01,3333,9,Holidays,Airplane,Non-Essentials
530,531,-666.54,2024-03-12,1111,9,Holidays,Airplane,Non-Essentials
531,532,-160.19,2024-11-09,3333,18,Health,Medical Appointments,Essentials
532,533,-14.24,2024-01-13,1111,14,Leisure,Bar,Non-Essentials
533,534,-10.89,2025-01-02,1111,13,Leisure,Activities,Non-Essentials
534,535,-29.22,2024-08-18,2222,16,Leisure,Restaurant,Non-Essentials
535,536,-218.89,2025-01-07,1111,7,Home Expenses,Heating,Essentials
536,537,-69.91,2024-08-04,1111,1,Car,Fuel,Essentials
537,538,-1085.38,2023-12-23,2222,9,Holidays,Airplane,Non-Essentials
538,539,-39.68,2024-02-06,1111,16,Leisure,Restaurant,Non-Essentials
539,540,-134.29,2023-07-27,1111,6,Home Expenses,Electricity,Essentials
540,541,-11.18,2023-08-16,2222,26,Public Transports,Bus,Essentials
541,542,-147.12,2024-05-06,2222,7,Home Expenses,Heating,Essentials
542,543,-69.48,2025-06-07,3333,13,Leisure,Activities,Non-Essentials
543,544,-41.33,2023-09-25,1111,3,Purchases,Home Items,Non-Essentials
544,545,-197.16,2025-02-05,2222,7,Home Expenses,Heating,Essentials
545,546,-51.48,2024-05-15,1111,16,Leisure,Restaurant,Non-Essentials
546,547,-59.37,2024-08-25,1111,16,Leisure,Restaurant,Non-Essentials
548,549,-97.15,2025-09-28,1111,21,Health,Pharmacy,Essentials
549,550,-51.98,2025-08-21,3333,28,Clothing,Clothes,Non-Essentials
550,551,-33.24,2025-11-07,2222,16,Leisure,Restaurant,Non-Essentials
551,552,-77.6,2025-02-05,2222,25,Public Transports,Train,Essentials
552,553,-51.78,2024-10-21,3333,21,Health,Pharmacy,Essentials
553,554,-57.29,2025-09-16,3333,13,Leisure,Activities,Non-Essentials
554,555,-121.06,2025-04-01,3333,18,Health,Medical Appointments,Essentials
555,556,-554.82,2024-02-29,1111,23,Taxes,Income Taxes,Essentials
556,557,-179.46,2024-04-25,2222,7,Home Expenses,Heating,Essentials
557,558,-147.32,2025-02-11,3333,7,Home Expenses,Heating,Essentials
558,559,-143.55,2025-02-05,2222,6,Home Expenses,Electricity,Essentials
559,560,-26.78,2023-06-22,2222,16,Leisure,Restaurant,Non-Essentials
560,561,-87.45,2024-04-16,3333,16,Leisure,Restaurant,Non-Essentials
561,562,-155.62,2024-11-19,2222,2,Car,Maintenance,Essentials
562,563,-80.78,2025-04-17,2222,16,Leisure,Restaurant,Non-Essentials
563,564,-97.55,2025-02-22,1111,18,Health,Medical Appointments,Essentials
564,565,-94.17,2024-06-27,3333,6,Home Expenses,Electricity,Essentials
565,566,-84.64,2023-06-18,2222,3,Purchases,Home Items,Non-Essentials
566,567,-56.15,2023-06-10,2222,21,Health,Pharmacy,Essentials
567,568,-298.41,2023-05-27,2222,9,Holidays,Airplane,Non-Essentials
568,569,-177.43,2024-11-14,1111,2,Car,Maintenance,Essentials
569,570,-19.82,2024-09-11,3333,26,Public Transports,Bus,Essentials
570,571,-43.05,2024-01-26,3333,26,Public Transports,Bus,Essentials
571,572,-79.9,2024-06-18,1111,16,Leisure,Restaurant,Non-Essentials
572,573,-120.46,2024-12-10,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
573,574,-41.98,2023-01-25,2222,14,Leisure,Bar,Non-Essentials
574,575,-56.14,2023-11-02,2222,25,Public Transports,Train,Essentials
575,576,-426.93,2024-03-05,2222,9,Holidays,Airplane,Non-Essentials
576,577,-715.83,2025-08-17,3333,9,Holidays,Airplane,Non-Essentials
577,578,-64.29,2023-06-25,2222,16,Leisure,Restaurant,Non-Essentials
578,579,-174.33,2025-05-05,1111,7,Home Expenses,Heating,Essentials
579,580,-78.5,2023-03-03,2222,16,Leisure,Restaurant,Non-Essentials
580,581,-47.33,2023-09-20,2222,5,Home Expenses,Water,Essentials
581,582,-32.61,2024-12-27,2222,28,Clothing,Clothes,Non-Essentials
582,583,-619.15,2025-04-06,3333,9,Holidays,Airplane,Non-Essentials
583,584,-43.97,2023-02-17,3333,22,Taxes,Documents,Essentials
584,585,-278.98,2023-11-11,2222,2,Car,Maintenance,Essentials
585,586,-540.89,2025-03-11,2222,23,Taxes,Income Taxes,Essentials
586,587,-288.71,2023-05-11,3333,7,Home Expenses,Heating,Essentials
587,588,-13.48,2023-08-11,2222,14,Leisure,Bar,Non-Essentials
588,589,-773.36,2024-09-15,1111,23,Taxes,Income Taxes,Essentials
589,590,-60.43,2023-12-30,1111,6,Home Expenses,Electricity,Essentials
590,591,-128.61,2023-02-24,1111,27,Clothing,Shoes,Non-Essentials
591,592,-95.29,2025-03-01,2222,7,Home Expenses,Heating,Essentials
592,593,-131.27,2023-05-24,2222,7,Home Expenses,Heating,Essentials
593,594,-129.54,2023-01-23,1111,2,Car,Maintenance,Essentials
595,596,-148.96,2023-09-22,3333,6,Home Expenses,Electricity,Essentials
596,597,-169.56,2023-05-21,2222,15,Groceries,Groceries,Essentials
597,598,-108.59,2024-02-26,2222,7,Home Expenses,Heating,Essentials
598,599,-254.47,2025-08-30,1111,15,Groceries,Groceries,Essentials
599,600,-58.75,2024-09-27,3333,16,Leisure,Restaurant,Non-Essentials
600,601,-190.54,2025-07-28,2222,7,Home Expenses,Heating,Essentials
601,602,-81.64,2023-10-20,2222,7,Home Expenses,Heating,Essentials
602,603,-168.42,2024-05-20,3333,3,Purchases,Home Items,Non-Essentials
604,605,-94.9,2023-07-06,2222,16,Leisure,Restaurant,Non-Essentials
605,606,-89.29,2025-07-23,2222,25,Public Transports,Train,Essentials
606,607,-171.68,2024-09-01,2222,27,Clothing,Shoes,Non-Essentials
607,608,-71.17,2023-12-25,2222,16,Leisure,Restaurant,Non-Essentials
608,609,-379.58,2025-06-03,2222,9,Holidays,Airplane,Non-Essentials
609,610,-45.99,2024-01-11,3333,14,Leisure,Bar,Non-Essentials
610,611,-166.87,2023-03-31,1111,23,Taxes,Income Taxes,Essentials
611,612,-77.38,2024-08-20,3333,6,Home Expenses,Electricity,Essentials
612,613,-145.65,2024-03-20,2222,3,Purchases,Home Items,Non-Essentials
613,614,-298.1,2023-09-06,2222,15,Groceries,Groceries,Essentials
614,615,-155.97,2025-10-30,2222,3,Purchases,Home Items,Non-Essentials
615,616,-162.73,2024-06-01,1111,15,Groceries,Groceries,Essentials
616,617,-14.02,2023-02-24,1111,21,Health,Pharmacy,Essentials
617,618,-72.5,2025-08-03,2222,25,Public Transports,Train,Essentials
619,620,-32.9,2023-08-23,3333,2,Car,Maintenance,Essentials
620,621,-39.81,2025-08-08,2222,5,Home Expenses,Water,Essentials
621,622,-28.87,2024-05-11,3333,16,Leisure,Restaurant,Non-Essentials
622,623,-38.23,2024-07-25,1111,16,Leisure,Restaurant,Non-Essentials
623,624,-133.85,2023-07-25,1111,6,Home Expenses,Electricity,Essentials
624,625,-81.04,2025-03-11,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
625,626,-140.85,2023-01-23,3333,3,Purchases,Home Items,Non-Essentials
626,627,-176.75,2025-01-03,1111,10,Holidays,Hotel Stays,Non-Essentials
627,628,-237.17,2024-03-18,2222,7,Home Expenses,Heating,Essentials
628,629,-28.6,2023-07-30,2222,27,Clothing,Shoes,Non-Essentials
629,630,-75.5,2023-04-18,3333,27,Clothing,Shoes,Non-Essentials
630,631,-54.87,2025-02-11,1111,1,Car,Fuel,Essentials
631,632,-574.64,2024-05-03,1111,9,Holidays,Airplane,Non-Essentials
632,633,-22.89,2023-02-27,1111,3,Purchases,Home Items,Non-Essentials
634,635,-807.08,2023-12-10,3333,4,Purchases,Electronics,Non-Essentials
635,636,-54.4,2025-11-15,1111,6,Home Expenses,Electricity,Essentials
637,638,-285.55,2025-03-20,2222,7,Home Expenses,Heating,Essentials
638,639,-270.79,2023-08-05,2222,4,Purchases,Electronics,Non-Essentials
641,642,-266.02,2024-07-24,3333,9,Holidays,Airplane,Non-Essentials
642,643,-20.0,2024-07-05,1111,24,Telecom,Telecom,Essentials
643,644,-125.38,2025-10-20,1111,15,Groceries,Groceries,Essentials
644,645,-116.51,2023-12-18,2222,27,Clothing,Shoes,Non-Essentials
645,646,-619.87,2025-03-06,3333,4,Purchases,Electronics,Non-Essentials
646,647,-43.93,2023-12-26,3333,27,Clothing,Shoes,Non-Essentials
647,648,-77.23,2025-09-14,1111,27,Clothing,Shoes,Non-Essentials
649,650,-67.65,2024-04-21,3333,21,Health,Pharmacy,Essentials
650,651,-593.24,2023-01-28,1111,23,Taxes,Income Taxes,Essentials
651,652,-111.63,2023-09-12,2222,1,Car,Fuel,Essentials
652,653,-937.91,2024-05-13,3333,9,Holidays,Airplane,Non-Essentials
653,654,-30.79,2025-02-06,2222,3,Purchases,Home Items,Non-Essentials
654,655,-100.5,2025-02-08,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
655,656,-13.41,2025-06-27,3333,25,Public Transports,Train,Essentials
657,658,-170.64,2025-04-29,3333,2,Car,Maintenance,Essentials
658,659,-237.64,2024-04-14,3333,11,Holidays,Extra Holiday Expenses,Non-Essentials
660,661,-274.79,2024-05-23,3333,2,Car,Maintenance,Essentials
661,662,-149.51,2025-02-20,3333,27,Clothing,Shoes,Non-Essentials
663,664,-60.5,2024-01-30,1111,18,Health,Medical Appointments,Essentials
664,665,-99.28,2024-02-23,1111,25,Public Transports,Train,Essentials
665,666,-51.26,2024-02-23,1111,3,Purchases,Home Items,Non-Essentials
666,667,-17.03,2025-08-14,2222,21,Health,Pharmacy,Essentials
667,668,-122.17,2024-05-16,2222,6,Home Expenses,Electricity,Essentials
668,669,-110.59,2024-09-12,2222,6,Home Expenses,Electricity,Essentials
669,670,-413.79,2024-02-17,2222,23,Taxes,Income Taxes,Essentials
670,671,-62.0,2025-01-06,2222,18,Health,Medical Appointments,Essentials
671,672,-12.55,2025-06-22,2222,14,Leisure,Bar,Non-Essentials
672,673,-64.85,2025-06-06,1111,21,Health,Pharmacy,Essentials
673,674,-52.97,2025-02-20,2222,18,Health,Medical Appointments,Essentials
674,675,-156.59,2024-09-06,3333,3,Purchases,Home Items,Non-Essentials
675,676,-32.22,2023-12-26,2222,16,Leisure,Restaurant,Non-Essentials
676,677,-25.86,2025-07-17,2222,14,Leisure,Bar,Non-Essentials
677,678,-30.3,2025-09-11,1111,14,Leisure,Bar,Non-Essentials
679,680,-57.48,2023-01-09,1111,5,Home Expenses,Water,Essentials
680,681,-75.73,2025-02-05,2222,21,Health,Pharmacy,Essentials
681,682,-46.66,2025-03-19,3333,14,Leisure,Bar,Non-Essentials
682,683,-44.56,2024-09-22,3333,13,Leisure,Activities,Non-Essentials
683,684,-149.86,2023-03-21,1111,23,Taxes,Income Taxes,Essentials
684,685,-46.95,2023-11-29,1111,14,Leisure,Bar,Non-Essentials
685,686,-289.27,2024-12-14,3333,15,Groceries,Groceries,Essentials
686,687,-107.95,2025-01-24,3333,27,Clothing,Shoes,Non-Essentials
687,688,-205.74,2025-05-18,3333,2,Car,Maintenance,Essentials
688,689,-442.35,2023-03-12,2222,9,Holidays,Airplane,Non-Essentials
689,690,-73.59,2023-02-27,3333,25,Public Transports,Train,Essentials
690,691,-34.04,2024-06-19,3333,26,Public Transports,Bus,Essentials
691,692,-142.75,2023-10-29,2222,16,Leisure,Restaurant,Non-Essentials
692,693,-802.15,2023-11-27,1111,9,Holidays,Airplane,Non-Essentials
693,694,-782.42,2025-02-26,2222,4,Purchases,Electronics,Non-Essentials
694,695,-125.51,2023-06-14,3333,27,Clothing,Shoes,Non-Essentials
695,696,-272.72,2023-12-06,2222,7,Home Expenses,Heating,Essentials
696,697,-445.92,2025-10-22,3333,10,Holidays,Hotel Stays,Non-Essentials
697,698,-44.9,2024-09-22,3333,26,Public Transports,Bus,Essentials
698,699,-238.12,2023-07-02,1111,15,Groceries,Groceries,Essentials
699,700,-61.54,2024-12-06,1111,25,Public Transports,Train,Essentials
700,701,-474.37,2025-03-26,3333,10,Holidays,Hotel Stays,Non-Essentials
701,702,-51.61,2023-12-11,2222,11,Holidays,Extra Holiday Expenses,Non-Essentials
702,703,-59.69,2025-05-05,3333,1,Car,Fuel,Essentials
703,704,-213.63,2025-06-01,1111,15,Groceries,Groceries,Essentials
704,705,-87.47,2023-10-03,1111,6,Home Expenses,Electricity,Essentials
705,706,-77.3,2023-08-14,2222,18,Health,Medical Appointments,Essentials
706,707,-670.06,2024-01-16,1111,23,Taxes,Income Taxes,Essentials
707,708,-232.48,2024-01-28,2222,2,Car,Maintenance,Essentials
708,709,-160.18,2023-08-12,3333,15,Groceries,Groceries,Essentials
709,710,-57.98,2023-06-25,2222,6,Home Expenses,Electricity,Essentials
710,711,-312.92,2024-12-01,1111,4,Purchases,Electronics,Non-Essentials
711,712,-264.35,2025-09-20,3333,23,Taxes,Income Taxes,Essentials
712,713,-59.03,2024-06-28,1111,4,Purchases,Electronics,Non-Essentials
713,714,-31.21,2023-03-27,1111,26,Public Transports,Bus,Essentials
714,715,-194.91,2023-01-15,2222,7,Home Expenses,Heating,Essentials
715,716,-56.0,2024-06-28,2222,16,Leisure,Restaurant,Non-Essentials
716,717,-163.54,2025-05-29,2222,18,Health,Medical Appointments,Essentials
717,718,-71.37,2024-12-03,2222,13,Leisure,Activities,Non-Essentials
718,719,-1140.99,2025-03-27,2222,9,Holidays,Airplane,Non-Essentials
719,720,-32.86,2024-12-30,2222,16,Leisure,Restaurant,Non-Essentials
720,721,-52.93,2025-04-02,3333,4,Purchases,Electronics,Non-Essentials
721,722,-30.77,2023-09-09,3333,5,Home Expenses,Water,Essentials
722,723,-575.53,2024-05-24,2222,10,Holidays,Hotel Stays,Non-Essentials
723,724,-100.39,2025-08-31,3333,16,Leisure,Restaurant,Non-Essentials
724,725,-215.06,2023-01-07,3333,15,Groceries,Groceries,Essentials
726,727,-117.89,2025-06-28,1111,28,Clothing,Clothes,Non-Essentials
727,728,-20.0,2025-01-03,2222,24,Telecom,Telecom,Essentials
728,729,-284.77,2025-09-02,3333,15,Groceries,Groceries,Essentials
729,730,-182.94,2025-02-27,2222,27,Clothing,Shoes,Non-Essentials
730,731,-39.75,2023-10-21,3333,16,Leisure,Restaurant,Non-Essentials
731,732,-649.4,2025-10-30,1111,23,Taxes,Income Taxes,Essentials
732,733,-44.94,2023-06-28,2222,5,Home Expenses,Water,Essentials
733,734,-49.83,2025-08-14,1111,26,Public Transports,Bus,Essentials
734,735,-144.16,2025-09-14,3333,16,Leisure,Restaurant,Non-Essentials
735,736,-39.27,2024-03-09,1111,16,Leisure,Restaurant,Non-Essentials
736,737,-36.5,2023-08-05,2222,26,Public Transports,Bus,Essentials
737,738,-25.26,2024-10-30,2222,27,Clothing,Shoes,Non-Essentials
738,739,-210.19,2024-06-11,3333,10,Holidays,Hotel Stays,Non-Essentials
739,740,-192.73,2023-09-10,3333,18,Health,Medical Appointments,Essentials
740,741,-57.68,2025-10-04,1111,5,Home Expenses,Water,Essentials
741,742,-79.9,2024-04-03,3333,27,Clothing,Shoes,Non-Essentials
742,743,-33.23,2024-12-03,2222,16,Leisure,Restaurant,Non-Essentials
743,744,-153.73,2025-02-20,3333,27,Clothing,Shoes,Non-Essentials
744,745,-80.66,2025-06-13,1111,25,Public Transports,Train,Essentials
745,746,-459.09,2024-08-18,1111,9,Holidays,Airplane,Non-Essentials
746,747,-134.68,2024-01-21,3333,4,Purchases,Electronics,Non-Essentials
747,748,-594.2,2023-09-18,2222,4,Purchases,Electronics,Non-Essentials
748,749,-30.96,2023-01-04,2222,14,Leisure,Bar,Non-Essentials
749,750,-189.32,2024-01-24,2222,2,Car,Maintenance,Essentials
750,751,-129.91,2025-01-17,3333,15,Groceries,Groceries,Essentials
751,752,-45.59,2024-03-30,1111,5,Home Expenses,Water,Essentials
752,753,-5.41,2025-08-01,2222,14,Leisure,Bar,Non-Essentials
753,754,-54.48,2024-08-30,1111,5,Home Expenses,Water,Essentials
754,755,-152.0,2023-10-29,3333,18,Health,Medical Appointments,Essentials
755,756,-86.47,2023-03-12,3333,11,Holidays,Extra Holiday Expenses,Non-Essentials
757,758,-123.31,2024-03-17,2222,27,Clothing,Shoes,Non-Essentials
758,759,-226.04,2025-02-10,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
760,761,-900.41,2023-04-18,1111,9,Holidays,Airplane,Non-Essentials
761,762,-159.11,2024-09-04,3333,18,Health,Medical Appointments,Essentials
762,763,-149.11,2025-03-14,2222,6,Home Expenses,Electricity,Essentials
763,764,-219.47,2024-12-14,2222,15,Groceries,Groceries,Essentials
764,765,-8.23,2024-08-02,2222,14,Leisure,Bar,Non-Essentials
765,766,-186.15,2025-03-17,1111,27,Clothing,Shoes,Non-Essentials
766,767,-39.7,2023-04-21,3333,5,Home Expenses,Water,Essentials
767,768,-164.38,2023-12-02,3333,11,Holidays,Extra Holiday Expenses,Non-Essentials
768,769,-43.26,2025-09-15,2222,5,Home Expenses,Water,Essentials
769,770,-36.29,2024-02-05,3333,5,Home Expenses,Water,Essentials
770,771,-10.82,2023-07-28,3333,25,Public Transports,Train,Essentials
771,772,-41.3,2025-05-24,3333,5,Home Expenses,Water,Essentials
772,773,-142.6,2023-07-16,2222,6,Home Expenses,Electricity,Essentials
773,774,-76.94,2023-04-18,1111,18,Health,Medical Appointments,Essentials
774,775,-68.51,2025-06-07,1111,21,Health,Pharmacy,Essentials
775,776,-75.03,2024-05-16,1111,25,Public Transports,Train,Essentials
776,777,-278.81,2025-09-27,2222,4,Purchases,Electronics,Non-Essentials
777,778,-127.31,2023-12-20,3333,27,Clothing,Shoes,Non-Essentials
778,779,-131.35,2023-07-03,2222,28,Clothing,Clothes,Non-Essentials
779,780,-44.39,2025-06-30,2222,25,Public Transports,Train,Essentials
780,781,-62.0,2023-06-19,1111,1,Car,Fuel,Essentials
781,782,-146.21,2025-11-09,1111,18,Health,Medical Appointments,Essentials
782,783,-108.69,2025-09-09,2222,1,Car,Fuel,Essentials
783,784,-154.16,2024-01-06,2222,27,Clothing,Shoes,Non-Essentials
784,785,-199.99,2025-06-07,2222,18,Health,Medical Appointments,Essentials
785,786,-187.67,2024-10-28,1111,23,Taxes,Income Taxes,Essentials
786,787,-183.6,2024-01-14,2222,27,Clothing,Shoes,Non-Essentials
787,788,-23.55,2025-09-27,1111,27,Clothing,Shoes,Non-Essentials
788,789,-85.34,2023-09-12,1111,21,Health,Pharmacy,Essentials
789,790,-45.39,2024-01-06,3333,26,Public Transports,Bus,Essentials
790,791,-52.39,2025-07-04,2222,27,Clothing,Shoes,Non-Essentials
791,792,-87.19,2024-02-27,3333,4,Purchases,Electronics,Non-Essentials
792,793,-58.78,2024-06-09,1111,6,Home Expenses,Electricity,Essentials
793,794,-196.39,2025-11-02,2222,3,Purchases,Home Items,Non-Essentials
794,795,-96.96,2023-12-18,2222,13,Leisure,Activities,Non-Essentials
795,796,-5.0,2024-09-07,1111,26,Public Transports,Bus,Essentials
796,797,-91.42,2024-08-23,3333,21,Health,Pharmacy,Essentials
797,798,-55.59,2025-10-01,3333,16,Leisure,Restaurant,Non-Essentials
799,800,-60.85,2023-07-22,3333,16,Leisure,Restaurant,Non-Essentials
800,801,-94.02,2024-01-21,1111,2,Car,Maintenance,Essentials
801,802,-264.02,2024-03-16,1111,11,Holidays,Extra Holiday Expenses,Non-Essentials
802,803,-57.6,2025-01-05,2222,16,Leisure,Restaurant,Non-Essentials
803,804,-51.87,2025-05-14,1111,5,Home Expenses,Water,Essentials
804,805,-40.4,2025-02-20,3333,16,Leisure,Restaurant,Non-Essentials
805,806,-90.01,2023-06-20,2222,6,Home Expenses,Electricity,Essentials
806,807,-24.14,2023-10-21,3333,26,Public Transports,Bus,Essentials
807,808,-95.52,2024-07-05,3333,7,Home Expenses,Heating,Essentials
